title,description,location,features,date,price
3 bhk floors 2290000 kharar near busstand ready,3 bhk floors at kharar 2290000 ready to live,"India, Punjab, Kharar, Preet Nagar",3 Bds - 3 Ba - 1200 ft2,2021-06-08T03:00:52+0000,"₹ 22,90,000"
2 bhk furnished flat for sale in jagatpura,2 bhk flat for sale in jagatpura Nearby Akshyapatra  Nearby R tech mall  following amenities provided ; Double bed with mattress  Curtains  Chimney  Six seater sofa  Central table  Wallpaper * common features: virtified flooring,"India, Rajasthan, Jaipur, Jagatpura",2 Bds - 2 Ba - 1180 ft2,2021-06-08T03:00:39+0000,"₹ 22,00,002"
Hos for sailing,Hos for sailing,"India, Karnataka, Bengaluru, Choodasandra",2 Bds - 2 Ba - 600 ft2,2021-06-08T03:00:28+0000,"₹ 35,00,000"
DUPLEX  BUNGLOW  PROJECT BAMUNARA AT MUCHIPARA,SIDHI VINAYAK  RESIDANCE  DUPLEX  BUNGLOW  PROJECT  ELECTRIC  CONECTIUON  WATER CONECTION   SCHOOL  PUBLIC SCHOOL 3.5 K.M DURGAPUR PUBLIC 3 K.M. AMMA SCHOOL 3K.M STJAVIERS  3.7 K.M.  BAZAR  BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.  BANK SBI  ATM  200 MITER ALL BANK  1 K.M . 	  MUCHIPARA  1.5 K.M BAMUNARA  ROAD MISSION HOSPITAL  3K.M. BIDDHEN NAGAR HOSPITAL 4 K.M GOURI DEVI HOSPITAL 5 K.M. NATION HOSPITAL 1 K.M SANAKA HOSPITAL  5 K.M. MUCHIPARA BUS STAND  2 K.M  RAILWAY STATION  5 K.M DURGAPUR RAILWAY STATION CITY CENTRE BUS STAND  7 K.M. ONLY  DUPLEX BUNGLOW  HOUSE,"India, West Bengal, Durgapur, Muchipara",2 Bds - 2 Ba - 850 ft2,2021-06-08T03:00:21+0000,"₹ 26,00,000"
3 bhk luxury villas avilble for sale,3 bhk villa with prime location Nearby akshyapatra temple  Fully furnished  Double bed with mattresses  6 seater sofa  Wallpaper  Vastu oriented  Spacious,"India, Rajasthan, Jaipur, Jagatpura",3 Bds - 3 Ba - 2000 ft2,2021-06-08T02:59:56+0000,"₹ 55,00,000"
Sunshine gateway,New launching project in gandimaisamma with world class amenities providing afford ble price and 2bhk and 3 bhk.. Providing bank loan also,"India, Telangana, Hyderabad, Gandi Maisamma",2 Bds - 2 Ba - 1115 ft2,2021-06-08T02:59:41+0000,"₹ 40,00,000"
SHOP SELL BAMUNARA   OFFICE/ SHOP SELL,DELHI PUBLIC SCHOOL 3.5 K.M DURGAPUR PUBLIC 3 K.M. AMMA SCHOOL 3K.M STJAVIERS  3.7 K.M.                               BAZAR  BAMUNARA MAIN MARKET  5 00 MITERS  MUCHIPARA  MARKET  2K.M. BIDDHENNAGAR MARKET 4K.M.                         BANK SBI  ATM  200 MITER ALL BANK  1 K.M    1 ST FLOOR ONLY SELL,"India, West Bengal, Durgapur, Muchipara",1 Bds - 1 Ba - 130 ft2,2021-06-08T02:59:41+0000,"₹ 7,00,000"
3 bhk tenamnent,3bhk tenament with furniture,"India, Gujarat, Nadiad, Vallabh nagar",3 Bds - 2 Ba - 576 ft2,2021-06-08T02:59:40+0000,"₹ 38,00,000"
3 bhk furnished flat for sale nearby Akshyapatra temple,3 bhk fully  fully furnished  flat for sale available nearby Akshyapatra temple  jagatpura it includes:  Double bed with mattress  6 seater sofa with central table  Wallpaper  Curtains  RO Drawing panel  Tv panel  2 wardrobe 2 bolcony   Lift  Parking covered  Water available 24 hours  * Available at prime location in jagatpura*,"India, Rajasthan, Jaipur, Jagatpura",3 Bds - 3 Ba - 1556 ft2,2021-06-08T02:59:35+0000,"₹ 30,99,990"
Aakash India,"The ceaseless endeavor to ensure top of the line construction and commitment to timely delivery has generated immense goodwill and a pool of satisfied clients for the company. The unflinching customer centric commitment is reflected in the Aakash Greens project, which have 72 top-notch apartments that boast of aesthetic design blended with meticulous planning. To achieve such quality the company has engaged a dedicated group of qualified and experienced architects and engineers.  Address - Rd Number 15, Jahawarnagar, Mango, Jamshedpur, Jharkhand 831012  Features: COMMUNITY HALL GYMNASIUM BIG LAWN CHILDREN PLAY AREA JOGGING TRACK HIGH SPEED 8 PASSENGER LIFT 24HRS POWER BACKUP ROUND THE CLOCK SECURITY FIRE FIGHTING SYSTEM WATER HARVESTING PITS VISITORS PARKING PIPED LPG GAS CONNECTION","India, Jharkhand, Jamshedpur, Mango",,2021-05-19T09:19:13+0000,"₹ 33,00,000"
